id,treat,code_pay,role,group,hidden_number,report1,duplicate
10,VCTM5,53yca6vgjzv6ou9z,P1,7946397007,7,7,2
11,VCTM5,2gq6uoxhjzv6ou9z,P1,1005243656,8,8,2
12,VCTM5,hz3bhv97jzv6ou9z,P1,6892546454,10,12,2
13,VCTM5,ucpjtq98jzv6ou9z,P1,9757974224,10,10,2
14,VCTM5,56cu6zmujzv6ou9z,P1,7058786009,14,30,2
15,VCTM5,qz6heblbjzv6ou9z,P1,4857792889,12,12,2
16,VCTM5,8yd033rvjzv6ou9z,P1,6346546297,6,6,2
17,VCTM5,r6v3oa6qjzv6ou9z,P1,6418046186,26,26,2
18,VCTM5,eeonrq8rjzv6ou9z,P1,3544402363,2,2,2
19,VCTM5,fyhbung6jzv6ou9z,P1,5653889337,21,21,2
20,VCTM5,7l6723fnjzv6ou9z,P1,3810395041,8,8,2
21,VCTM5,ixpkd1ayjzv6ou9z,P1,9767384409,11,30,2
22,VCTM5,dihomyq0jzv6ou9z,P1,2673650523,7,7,2
23,VCTM5,q7ulh9jnjzv6ou9z,P1,5451087579,14,14,2
24,VCTM5,vbm32tyejzv6ou9z,P1,4190989736,8,30,2
25,VCTM5,b69j6k15jzv6ou9z,P1,2189621527,10,10,2
26,VCTM5,f0x45kpmjzv6ou9z,P1,3944356812,10,10,2
27,VCTM5,17xtly73jzv6ou9z,P1,1640232080,7,30,2
28,VCTM5,r2usvj29jzv6ou9z,P1,2455872846,8,8,2
29,VCTM5,qsbasd9ajzv6ou9z,P1,7093242708,10,10,2
30,VCTM5,eotfau27jzv6ou9z,P1,6118225115,10,30,2
31,VCTM5,fy4tff8ljzv6ou9z,P1,9571267520,17,30,2
32,VCTM5,zn1qavgfjzv6ou9z,P1,8005340493,26,28,2
33,VCTM5,jv210kl2jzv6ou9z,P1,7471887354,9,9,2
34,VCTM5,ex3ibw3ejzv6ou9z,P1,4609495823,30,30,2
35,VCTM5,btqogkinjzv6ou9z,P1,5076996594,11,30,2
36,VCTM5,e6lp5eaxjzv6ou9z,P1,9216377667,11,11,2
37,VCTM5,3yld3o4ojzv6ou9z,P1,5631239304,8,8,2
38,VCTM5,gywxamv5jzv6ou9z,P1,3208106961,10,10,2
39,VCTM5,gmo16zyljzv6ou9z,P1,3988386972,1,1,2
40,VCTM5,q23drzgmjzv6ou9z,P1,4240800710,11,11,2
41,VCTM5,aeaxvmzojzv6ou9z,P1,4314239466,10,10,2
42,VCTM5,xgxqy3m4jzv6ou9z,P1,5151657274,7,7,2
43,VCTM5,h4jopx3tjzv6ou9z,P1,7292309250,8,30,2
44,VCTM5,s2ltggq4jzv6ou9z,P1,4782109855,9,9,2
45,VCTM5,q8qozf8djzv6ou9z,P1,5539516597,8,8,2
46,VCTM5,zizl1kf1jzv6ou9z,P1,4630110075,10,18,2
47,VCTM5,u08d01mnjzv6ou9z,P1,7354804682,7,7,2
48,VCTM5,2dnyzk9sjzv6ou9z,P1,9827094179,8,16,2
49,VCTM5,9071jjjujzv6ou9z,P1,6857460167,8,8,2
50,VCTM5,4fwtyhbijzv6ou9z,P1,4193453638,9,9,2
51,VCTM5,631dukhnjzv6ou9z,P1,1108876965,27,27,2
52,VCTM5,0q2z982zjzv6ou9z,P1,9345446309,10,10,2
53,VCTM5,yq27yq1yjzv6ou9z,P1,7080211559,8,8,2
54,VCTM5,aziwtjt4jzv6ou9z,P1,3197686757,12,13,2
55,VCTM5,eifxhk7njzv6ou9z,P1,5753584019,12,30,2
56,VCTM5,akmtgqkljzv6ou9z,P1,8427998212,11,11,2
57,VCTM5,dablsy7cjzv6ou9z,P1,5339660502,11,15,2
58,VCTM5,x3xgq9l4jzv6ou9z,P1,9980426949,14,30,2
59,VCTM5,y3jsu78yjzv6ou9z,P1,5241179052,8,8,2
60,VCTM5,l9px1y2rjzv6ou9z,P1,7013104509,9,9,2
61,VCTM5,846ei5k5jzv6ou9z,P1,9742143058,10,10,2
62,VCTM5,12od04p9jzv6ou9z,P1,3976234750,8,20,2
63,VCTM5,kr6zcvo9jzv6ou9z,P1,2683313506,12,30,2
64,VCTM5,7yid5tl5jzv6ou9z,P1,9826256583,7,30,2
65,VCTM5,pfiyntxgjzv6ou9z,P1,7687077683,8,30,2
66,VCTM5,g07aoyzajzv6ou9z,P1,9750850173,8,8,2
67,VCTM5,hfepem2ujzv6ou9z,P1,3381560601,12,12,2
68,VCTM5,cklb3b5yjzv6ou9z,P1,7353253846,8,15,2
69,VCTM5,pce6jgdbjzv6ou9z,P1,5885426676,8,8,2
70,VCTM5,p61y7c12jzv6ou9z,P1,3860850390,10,10,2
71,VCTM5,x98fafp7jzv6ou9z,P1,7199699577,10,25,2
72,VCTM5,1vdu0n3ljzv6ou9z,P1,5804000228,8,8,2
73,VCTM5,sadzq67rjzv6ou9z,P1,5873698857,10,24,2
74,VCTM5,8yb3qca4jzv6ou9z,P1,8312786506,8,8,2
75,VCTM5,t208rlqujzv6ou9z,P1,8770838178,7,20,2
76,VCTM5,zy1xjrvwjzv6ou9z,P1,4473165659,11,11,2
77,VCTM5,vhtmarxmjzv6ou9z,P1,6696707449,9,9,2
1,VCTM5,5zp6iaoejzv6ou9z,P1,9552935887,14,14,3
2,VCTM5,b58ske0yjzv6ou9z,P1,8519255924,22,22,3
3,VCTM5,iq7fjhp6jzv6ou9z,P1,3216338204,10,10,3
4,VCTM5,nk2p4rwajzv6ou9z,P1,9357092451,10,30,3
5,VCTM5,hzi5kja0jzv6ou9z,P1,3858788050,9,28,3
6,VCTM5,u8kme7dsjzv6ou9z,P1,1243027609,21,10,3
7,VCTM5,8qkfkjqbjzv6ou9z,P1,4037847170,7,30,3
8,VCTM5,4q1fah46jzv6ou9z,P1,4157132235,11,11,3
9,VCTM5,t0l1w04sjzv6ou9z,P1,4445149213,8,8,3
10,VCTM5,53yca6vgjzv6ou9z,P1,7946397007,7,7,3
11,VCTM5,2gq6uoxhjzv6ou9z,P1,1005243656,8,8,3
12,VCTM5,hz3bhv97jzv6ou9z,P1,6892546454,10,12,3
13,VCTM5,ucpjtq98jzv6ou9z,P1,9757974224,10,10,3
14,VCTM5,56cu6zmujzv6ou9z,P1,7058786009,14,30,3
15,VCTM5,qz6heblbjzv6ou9z,P1,4857792889,12,12,3
16,VCTM5,8yd033rvjzv6ou9z,P1,6346546297,6,6,3
17,VCTM5,r6v3oa6qjzv6ou9z,P1,6418046186,26,26,3
18,VCTM5,eeonrq8rjzv6ou9z,P1,3544402363,2,2,3
19,VCTM5,fyhbung6jzv6ou9z,P1,5653889337,21,21,3
20,VCTM5,7l6723fnjzv6ou9z,P1,3810395041,8,8,3
21,VCTM5,ixpkd1ayjzv6ou9z,P1,9767384409,11,30,3
22,VCTM5,dihomyq0jzv6ou9z,P1,2673650523,7,7,3
23,VCTM5,q7ulh9jnjzv6ou9z,P1,5451087579,14,14,3
24,VCTM5,vbm32tyejzv6ou9z,P1,4190989736,8,30,3
25,VCTM5,b69j6k15jzv6ou9z,P1,2189621527,10,10,3
26,VCTM5,f0x45kpmjzv6ou9z,P1,3944356812,10,10,3
27,VCTM5,17xtly73jzv6ou9z,P1,1640232080,7,30,3
28,VCTM5,r2usvj29jzv6ou9z,P1,2455872846,8,8,3
29,VCTM5,qsbasd9ajzv6ou9z,P1,7093242708,10,10,3
30,VCTM5,eotfau27jzv6ou9z,P1,6118225115,10,30,3
31,VCTM5,fy4tff8ljzv6ou9z,P1,9571267520,17,30,3
32,VCTM5,zn1qavgfjzv6ou9z,P1,8005340493,26,28,3
33,VCTM5,jv210kl2jzv6ou9z,P1,7471887354,9,9,3
34,VCTM5,ex3ibw3ejzv6ou9z,P1,4609495823,30,30,3
35,VCTM5,btqogkinjzv6ou9z,P1,5076996594,11,30,3
36,VCTM5,e6lp5eaxjzv6ou9z,P1,9216377667,11,11,3
37,VCTM5,3yld3o4ojzv6ou9z,P1,5631239304,8,8,3
38,VCTM5,gywxamv5jzv6ou9z,P1,3208106961,10,10,3
39,VCTM5,gmo16zyljzv6ou9z,P1,3988386972,1,1,3
40,VCTM5,q23drzgmjzv6ou9z,P1,4240800710,11,11,3
41,VCTM5,aeaxvmzojzv6ou9z,P1,4314239466,10,10,3
42,VCTM5,xgxqy3m4jzv6ou9z,P1,5151657274,7,7,3
43,VCTM5,h4jopx3tjzv6ou9z,P1,7292309250,8,30,3
44,VCTM5,s2ltggq4jzv6ou9z,P1,4782109855,9,9,3
45,VCTM5,q8qozf8djzv6ou9z,P1,5539516597,8,8,3
46,VCTM5,zizl1kf1jzv6ou9z,P1,4630110075,10,18,3
47,VCTM5,u08d01mnjzv6ou9z,P1,7354804682,7,7,3
48,VCTM5,2dnyzk9sjzv6ou9z,P1,9827094179,8,16,3
49,VCTM5,9071jjjujzv6ou9z,P1,6857460167,8,8,3
50,VCTM5,4fwtyhbijzv6ou9z,P1,4193453638,9,9,3
51,VCTM5,631dukhnjzv6ou9z,P1,1108876965,27,27,3
52,VCTM5,0q2z982zjzv6ou9z,P1,9345446309,10,10,3
53,VCTM5,yq27yq1yjzv6ou9z,P1,7080211559,8,8,3
54,VCTM5,aziwtjt4jzv6ou9z,P1,3197686757,12,13,3
55,VCTM5,eifxhk7njzv6ou9z,P1,5753584019,12,30,3
56,VCTM5,akmtgqkljzv6ou9z,P1,8427998212,11,11,3
57,VCTM5,dablsy7cjzv6ou9z,P1,5339660502,11,15,3
58,VCTM5,x3xgq9l4jzv6ou9z,P1,9980426949,14,30,3
59,VCTM5,y3jsu78yjzv6ou9z,P1,5241179052,8,8,3
60,VCTM5,l9px1y2rjzv6ou9z,P1,7013104509,9,9,3
61,VCTM5,846ei5k5jzv6ou9z,P1,9742143058,10,10,3
62,VCTM5,12od04p9jzv6ou9z,P1,3976234750,8,20,3
63,VCTM5,kr6zcvo9jzv6ou9z,P1,2683313506,12,30,3
64,VCTM5,7yid5tl5jzv6ou9z,P1,9826256583,7,30,3
65,VCTM5,pfiyntxgjzv6ou9z,P1,7687077683,8,30,3
66,VCTM5,g07aoyzajzv6ou9z,P1,9750850173,8,8,3
67,VCTM5,hfepem2ujzv6ou9z,P1,3381560601,12,12,3
68,VCTM5,cklb3b5yjzv6ou9z,P1,7353253846,8,15,3
69,VCTM5,pce6jgdbjzv6ou9z,P1,5885426676,8,8,3
70,VCTM5,p61y7c12jzv6ou9z,P1,3860850390,10,10,3
71,VCTM5,x98fafp7jzv6ou9z,P1,7199699577,10,25,3
72,VCTM5,1vdu0n3ljzv6ou9z,P1,5804000228,8,8,3
73,VCTM5,sadzq67rjzv6ou9z,P1,5873698857,10,24,3
74,VCTM5,8yb3qca4jzv6ou9z,P1,8312786506,8,8,3
75,VCTM5,t208rlqujzv6ou9z,P1,8770838178,7,20,3
76,VCTM5,zy1xjrvwjzv6ou9z,P1,4473165659,11,11,3
77,VCTM5,vhtmarxmjzv6ou9z,P1,6696707449,9,9,3
